Name,Author,CC0,BY,NC,SA,ND,CustomLicense,Link,Source,BPM,Time,Vocal,Drums(>50% of the time),Main Instrument,Generation(?),Feeling
bluenotes,airtone,0,1,0,0,0,0,http://dig.ccmixter.org/files/airtone/64427,CC Mixter,85,3:48,0,0,Piano,Jazz,舒适，悠闲
Je suis un Phoenix,Bluemillenium,0,1,1,0,0,0,http://dig.ccmixter.org/files/Bluemillenium/61325,CC Mixter,-1,6:29,0,0,Synthesizer,Ambient,前半部分诡异，孤独；后半部分充满激情
Obedience,7OOP3D,0,1,1,0,0,0,http://dig.ccmixter.org/files/7OOP3D/62730,CC Mixter,-1,4:56,0,1,Synthesizer,Downtempo,压抑，黑暗，但充满力量
ennui,airtone,0,1,1,0,0,0,http://dig.ccmixter.org/files/airtone/64531,CC Mixter,80,4:42,0,1,Guitar,Jazz,舒适，悠闲
The night is calling,Kraftamt,0,1,0,0,0,0,http://dig.ccmixter.org/files/Karstenholymoly/62739,CC Mixter,100,3:33,0,1,Synthesizer,Electro,黑暗，Cool
Stardust (Ziggy is coming),Kraftamt,0,1,1,0,0,0,http://dig.ccmixter.org/files/Karstenholymoly/62493,CC Mixter,-1,3:21,0,1,Synthesizer,Downtempo,激昂，Cool
Monsters (2nd Mix),Psykick,0,1,0,0,0,0,http://dig.ccmixter.org/files/Psykick/40191,CC Mixter,-1,4:59,1,1,Synthesizer,Techno,黑暗，恐怖，焦躁
The Thunderstorm,Kraftamt,0,1,1,0,0,0,http://dig.ccmixter.org/files/Karstenholymoly/41792,CC Mixter,-1,4:25,0,1,Orchestral,Epic,宏伟，渐进，充满希望
spacedust,airtone,0,1,0,0,0,0,http://dig.ccmixter.org/files/airtone/64741,CC Mixter,-1,5:18,0,1,Piano,?,欢乐，宁静
Lights Writing,Milky Blue,0,1,1,0,0,0,http://dig.ccmixter.org/files/Milky_Blue/63912,CC Mixter,-1,3:17,0,0,Piano,Ambient,宁静
timebeing,airtone,0,1,1,0,0,0,http://dig.ccmixter.org/files/airtone/63895,CC Mixter,-1,3:30,0,1,Piano,?,宁静，安详
𝙭𝘢𝒑𝒉𝒐𝙤𝘯,Apoxode,0,1,1,0,0,0,http://dig.ccmixter.org/files/Apoxode/64319,CC Mixter,-1,3:33,0,1,?,?,悠闲，重复
anotherStory,airtone,0,1,1,0,0,0,http://dig.ccmixter.org/files/airtone/64312,CC Mixter,-1,4:48,0,0,Synthesizer,Ambient,宁静
blackSnow,airtone,0,0,0,0,0,0,http://dig.ccmixter.org/files/airtone/63513,CC Mixter,-1,6:00,1,1,Piano,?,宁静，欢快，富有节奏感
